white_id,white_rating
cdvh112                                                                                             ,1795
hafedfree113                                                                                        ,1729
decem114                                                                                            ,1795
cdvh115                                                                                             ,1770
cdvh116                                                                                             ,1783
ashishbarda117                                                                                      ,1884
omid163118                                                                                          ,1756
cdvh119                                                                                             ,1724
chess-brahs120                                                                                      ,2036
cdvh121                                                                                             ,1706
mosheaugustyn122                                                                                    ,1244
sassou123                                                                                           ,1215
fatmat124                                                                                           ,1350
sassou125                                                                                           ,1210
sureka_akshat126                                                                                    ,1139
sassou127                                                                                           ,1220
sassou128                                                                                           ,1234
sassou129                                                                                           ,1275
sabayossi130                                                                                        ,1433
trelynn17131                                                                                        ,1132
sassou132                                                                                           ,1276
laeufer26133                                                                                        ,1228
sassou134                                                                                           ,1273
mdaboczi135                                                                                         ,1338
sassou136                                                                                           ,1263
rougethunder137                                                                                     ,1316
sassou138                                                                                           ,1248
maninayebi139                                                                                       ,1335
sassou140                                                                                           ,1223
pune123141                                                                                          ,1443
failedocean142                                                                                      ,1227
sassou143                                                                                           ,1215
fastandbulbous420144                                                                                ,1227
minimouf145                                                                                         ,1550
goodolddaystr146                                                                                    ,1325
gonzalogp98147                                                                                      ,1212
sassou148                                                                                           ,1226
sassou149                                                                                           ,1228
gotochess150                                                                                        ,1191
quent0151                                                                                           ,1422
dangerflaps152                                                                                      ,1186
sassou153                                                                                           ,1212
sassou154                                                                                           ,1228
japonxino155                                                                                        ,1865
isachess156                                                                                         ,1852
cliff_walker157                                                                                     ,1833
isachess158                                                                                         ,1851
isachess159                                                                                         ,1861
isachess160                                                                                         ,1853
juncinmestrella161                                                                                  ,1910
isachess162                                                                                         ,1851
tohaimr7163                                                                                         ,1860
zpectral-chess164                                                                                   ,1828
javier_temperley165                                                                                 ,1855
isachess166                                                                                         ,1847
jadesummer167                                                                                       ,1885
isachess168                                                                                         ,1847
isachess169                                                                                         ,1847
demetrio50170                                                                                       ,1840
isachess171                                                                                         ,1848
isachess172                                                                                         ,1860
azcatdave173                                                                                        ,1854
fikr174                                                                                             ,1895
isachess175                                                                                         ,1866
isachess176                                                                                         ,1866
nf3isstrong177                                                                                      ,1835
isachess178                                                                                         ,1877
edil1800179                                                                                         ,1849
humb180                                                                                             ,1835
isachess181                                                                                         ,1866
isachess182                                                                                         ,1856
isachess183                                                                                         ,1845
seetripuu184                                                                                        ,1834
seif22185                                                                                           ,1846
isachess186                                                                                         ,1845
isachess187                                                                                         ,1858
nespil188                                                                                           ,1871
isachess189                                                                                         ,1846
sergeylobanov190                                                                                    ,1843
clown_with_a_knife191                                                                               ,1800
taranga192                                                                                          ,1283
phileasfrog193                                                                                      ,1290
patrizio67194                                                                                       ,1331
piroz_xucestih195                                                                                   ,1304
taranga196                                                                                          ,1305
lelik3310197                                                                                        ,1308
cesar1945198                                                                                        ,1296
marmoraka5199                                                                                       ,968
taranga200                                                                                          ,1293
xapoh201                                                                                            ,1500
taranga202                                                                                          ,1288
taranga203                                                                                          ,1289
blassterkal204                                                                                      ,1431
striker123205                                                                                       ,1806
taranga206                                                                                          ,1289
blassterkal207                                                                                      ,1431
taranga208                                                                                          ,1289
taranga209                                                                                          ,1289
striker123210                                                                                       ,1806
taranga211                                                                                          ,1289
moon50212                                                                                           ,1409
taranga213                                                                                          ,1280
taranga214                                                                                          ,1280
italiantranslator215                                                                                ,1211
taranga216                                                                                          ,1281
taranga217                                                                                          ,1288
moon50218                                                                                           ,1560
taranga219                                                                                          ,1274
taranga220                                                                                          ,1259
trotil45221                                                                                         ,1614
taranga222                                                                                          ,1221
taranga223                                                                                          ,1222
hallowdance224                                                                                      ,1232
taranga225                                                                                          ,1240
harrygz226                                                                                          ,1590
rinoooo227                                                                                          ,1568
dbschultz228                                                                                        ,1500
thegrim123321229                                                                                    ,1384
thegrim123321230                                                                                    ,1384
thegrim123321231                                                                                    ,1384
thegrim123321232                                                                                    ,1377
kingestee33233                                                                                      ,1375
thegrim123321234                                                                                    ,1378
deragon63235                                                                                        ,1261
thegrim123321236                                                                                    ,1380
thegrim123321237                                                                                    ,1369
piechess97238                                                                                       ,1290
thegrim123321239                                                                                    ,1372
thekingdomcome240                                                                                   ,1361
rookreversal241                                                                                     ,1217
thegrim123321242                                                                                    ,1387
arrigo243                                                                                           ,1474
thegrim123321244                                                                                    ,1377
thegrim123321245                                                                                    ,1389
thegrim123321246                                                                                    ,1389
morficle247                                                                                         ,1849
annael88248                                                                                         ,1395
thegrim123321249                                                                                    ,1370
thegrim123321250                                                                                    ,1360
andre94251                                                                                          ,1311
lanas2007252                                                                                        ,1714
thegrim123321253                                                                                    ,1354
shivcool254                                                                                         ,1245
thegrim123321255                                                                                    ,1346
thegrim123321256                                                                                    ,1336
eideral257                                                                                          ,1580
krishubhi258                                                                                        ,1555
myalcin64259                                                                                        ,1649
tutubelezza260                                                                                      ,1426
eideral261                                                                                          ,1557
eideral262                                                                                          ,1557
maumau62263                                                                                         ,1607
eideral264                                                                                          ,1557
au118265                                                                                            ,1535
abel4865266                                                                                         ,1713
eideral267                                                                                          ,1497
tca1004268                                                                                          ,1437
pkgirpade269                                                                                        ,1516
eideral270                                                                                          ,1513
pablocas271                                                                                         ,1355
tabellaria272                                                                                       ,1638
tabellaria273                                                                                       ,1613
f2f274                                                                                              ,1865
playforpleasure275                                                                                  ,1776
tabellaria276                                                                                       ,1568
mattieuw2277                                                                                        ,1605
tabellaria278                                                                                       ,1518
sombragris279                                                                                       ,1728
tabellaria280                                                                                       ,1515
tabellaria281                                                                                       ,1538
jabar72282                                                                                          ,1511
little---a283                                                                                       ,1464
tabellaria284                                                                                       ,1470
pasch0s285                                                                                          ,1490
nadanadora286                                                                                       ,1611
nadanadora287                                                                                       ,1611
vpull9288                                                                                           ,1584
ramzaid289                                                                                          ,1942
mejjes290                                                                                           ,1217
nadanadora291                                                                                       ,1611
nadanadora292                                                                                       ,1611
googol100293                                                                                        ,1486
nadanadora294                                                                                       ,1453
nadanadora295                                                                                       ,1340
corvusossifragus296                                                                                 ,1532
doom12384297                                                                                        ,1560
doom12384298                                                                                        ,1571
doom12384299                                                                                        ,1580
quarks_sparks300                                                                                    ,1531
lagos16301                                                                                          ,1449
pepe100302                                                                                          ,1743
runmael303                                                                                          ,1604
nitegazer304                                                                                        ,1550
pipppone305                                                                                         ,1630
dimalesh306                                                                                         ,1475
doom12384307                                                                                        ,1605
dimalesh308                                                                                         ,1475
augustbecarre309                                                                                    ,1570
doom12384310                                                                                        ,1605
jejeh311                                                                                            ,1500
doom12384312                                                                                        ,1605
raavi313                                                                                            ,1513
ernestillo314                                                                                       ,1790
bwalmer315                                                                                          ,1864
atilioss316                                                                                         ,1496
bwalmer317                                                                                          ,1851
spendius318                                                                                         ,1861
tfeng319                                                                                            ,1618
wahana81320                                                                                         ,1620
tfeng321                                                                                            ,1621
tfeng322                                                                                            ,1633
thesmallbang323                                                                                     ,1623
tfeng324                                                                                            ,1612
famiss11325                                                                                         ,1605
bishopkerry01326                                                                                    ,1693
tfeng327                                                                                            ,1631
vineetg101328                                                                                       ,1636
tfeng329                                                                                            ,1613
tfeng330                                                                                            ,1627
facurezzo331                                                                                        ,1480
tfeng332                                                                                            ,1631
toniors333                                                                                          ,1687
tfeng334                                                                                            ,1630
locomotora335                                                                                       ,1414
tfeng336                                                                                            ,1619
tfeng337                                                                                            ,1629
ewama338                                                                                            ,1649
marcospe1964339                                                                                     ,1677
fox22634340                                                                                         ,1705
tfeng341                                                                                            ,1647
tfeng342                                                                                            ,1637
tfeng343                                                                                            ,1626
micmeta344                                                                                          ,1602
shafer24345                                                                                         ,1634
ironboy346                                                                                          ,1611
tfeng347                                                                                            ,1579
hetismogelijk348                                                                                    ,1995
bomardan349                                                                                         ,1589
tfeng350                                                                                            ,1570
tfeng351                                                                                            ,1559
eyany352                                                                                            ,1546
dandisd353                                                                                          ,1550
tfeng354                                                                                            ,1560
yalicapkini355                                                                                      ,1840
guber1962356                                                                                        ,1660
tfeng357                                                                                            ,1534
tarekjrd358                                                                                         ,1789
rajapirka359                                                                                        ,1841
tienc12345360                                                                                       ,1926
albinas361                                                                                          ,1629
valmasia3362                                                                                        ,1860
tienc12345363                                                                                       ,1500
joselito-carnaval364                                                                                ,1780
rustam9365                                                                                          ,966
halma366                                                                                            ,884
rustam9367                                                                                          ,945
rustam9368                                                                                          ,971
cris865369                                                                                          ,1238
rustam9370                                                                                          ,972
bilabrin371                                                                                         ,1107
rustam9372                                                                                          ,974
raza00373                                                                                           ,1203
rustam9374                                                                                          ,998
rustam9375                                                                                          ,1016
rustam9376                                                                                          ,1025
rustam9377                                                                                          ,1047
gabriel_ml378                                                                                       ,998
gus247379                                                                                           ,1127
rustam9380                                                                                          ,1020
rustam9381                                                                                          ,1069
ck666382                                                                                            ,1071
rustam9383                                                                                          ,1115
rustam9384                                                                                          ,1190
sergeares385                                                                                        ,1337
rustam9386                                                                                          ,1500
olaih85387                                                                                          ,1500
spikyturtle388                                                                                      ,1367
lodowy389                                                                                           ,1590
spikyturtle390                                                                                      ,1377
master22ar391                                                                                       ,1558
rfabian392                                                                                          ,1476
spikyturtle393                                                                                      ,1376
rfabian394                                                                                          ,1460
spikyturtle395                                                                                      ,1372
spikyturtle396                                                                                      ,1373
senormontypants397                                                                                  ,1500
pllm398                                                                                             ,1382
ahmedham399                                                                                         ,1320
jutton1400                                                                                          ,1383
jutton1401                                                                                          ,1383
agabek1948402                                                                                       ,1469
deekay17403                                                                                         ,959
jutton1404                                                                                          ,1357
deekay17405                                                                                         ,959
cagliostro97406                                                                                     ,1588
cagliostro97407                                                                                     ,1541
cagliostro97408                                                                                     ,1517
putin55409                                                                                          ,1569
qc-patzer410                                                                                        ,1563
robbm411                                                                                            ,1903
andrea78412                                                                                         ,1612
sumipcg413                                                                                          ,1327
jonikss414                                                                                          ,1245
rolando6415                                                                                         ,1921
mahdifoladi416                                                                                      ,1462
